team_name,team_url,team_logo_url
Bayer Leverkusen,https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/c7a9f859.png
Bayern Munich,https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/054efa67.png
Internazionale,https://fbref.com/en/squads/d609edc0/Internazionale-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/d609edc0.png
Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/53a2f082.png
Girona,https://fbref.com/en/squads/9024a00a/Girona-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/9024a00a.png
Paris Saint Germain,https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/e2d8892c.png
Juventus,https://fbref.com/en/squads/e0652b02/Juventus-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/e0652b02.png
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/822bd0ba.png
Stuttgart,https://fbref.com/en/squads/598bc722/Stuttgart-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/598bc722.png
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/18bb7c10.png
Atletico Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/db3b9613.png
Barcelona,https://fbref.com/en/squads/206d90db/Barcelona-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/206d90db.png
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/b8fd03ef.png
RB Leipzig,https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/acbb6a5b.png
Nice,https://fbref.com/en/squads/132ebc33/Nice-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/132ebc33.png
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/8602292d.png
